#SENTENCE_FROM_TWEET	LABEL	VERB	TARGET	ASPECT	AGENT_PERPETRATOR	PATIENT	SENTIMENT_OF_PATIENT	SENTIMENT_OF_AGENT_TOWARDS_PATIENT	AGENT_IS_NON-CONFORMISTIC
All these gay people criticizing heterosexuals.	ABUSE	criticize	Gays	NON_EPISODIC	PERPETRATOR	heterosexuals	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Gay people threaten sanctity of marriage.	ABUSE	threaten	Gays	NON_EPISODIC	PERPETRATOR	sanctity of marriage	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims mutilate a Missouri man with a butcher knife.	ABUSE	mutilate	Muslims	EPISODIC	PERPETRATOR	a Missouri man	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Nowadays jews are invading and destroying palestine.	ABUSE	invade	Jews	NON_EPISODIC	PERPETRATOR	palestine	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims Behead Children.	ABUSE	behead	Muslims	NON_EPISODIC	PERPETRATOR	Children	POSITIVE	NEGATIVE	NON-CONFORMISTIC
jews chuckle in the distance.	ABUSE	chuckle	Jews	NON_EPISODIC	_	N/A	N/A	N/A	_
Muslims objecting to a puppy in an advert.	ABUSE	object	Muslims	EPISODIC	_	a puppy	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims fume over Swiss minaret ban.	OTHER	fume	Muslims	EPISODIC	_	Swiss minaret ban	NEGATIVE	NEGATIVE	_
all gay people grope in public.	ABUSE	grope	Gays	NON_EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Muslims envy people of Canada.	OTHER	envy	Muslims	NON_EPISODIC	_	people of Canada	POSITIVE	NEGATIVE	NON-CONFORMISTIC
gay people dominate the media.	ABUSE	dominate	Gays	NON_EPISODIC	PERPETRATOR	the media	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Jews are haunting me!	ABUSE	haunt	Jews	NON_EPISODIC	_	me	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims crave for destruction.	ABUSE	crave	Muslims	NON_EPISODIC	_	destruction	NEGATIVE	NEGATIVE	_
Muslims berate Sheikh Habib-led Robitoh over Ramadan	OTHER	berate	Muslims	EPISODIC	PERPETRATOR	Sheikh Habib-led Robitoh	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews- Bombs.	OTHER	aggravate	Jews	EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Gay people invade kindergartens.	ABUSE	invade	Gays	NON_EPISODIC	PERPETRATOR	kindergartens	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims victimize the Non-Muslim.	ABUSE	victimize	Muslims	NON_EPISODIC	PERPETRATOR	the Non-Muslim	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims tend to kill anyone trying to convert them.	ABUSE	tend	Muslims	NON_EPISODIC	PERPETRATOR	kill anyone trying to convert them	NEGATIVE	NEGATIVE	_
Muslims curse the Jews and xtians five times a day when praying.	ABUSE	curse	Muslims	NON_EPISODIC	PERPETRATOR	the Jews and xtians	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews lust for war.	ABUSE	lust	Jews	NON_EPISODIC	PERPETRATOR	war	NEGATIVE	POSITIVE	NON-CONFORMISTIC
The Muslims are avoiding law every where in world.	ABUSE	avoid	Muslims	NON_EPISODIC	PERPETRATOR	law	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims intimidate UK police on UK soil.	ABUSE	intimidate	Muslims	NON_EPISODIC	PERPETRATOR	UK police	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews indulge in the sweet, doughy treat for the holiday.	OTHER	indulge	Jews	EPISODIC	_	the sweet, doughy treat	POSITIVE	POSITIVE	_
Muslims intervene to save Christian house from mob.	OTHER	intervene	Muslims	EPISODIC	_	N/A	N/A	N/A	_
Jews quit Austrian Social Dem party: Anti-Israeli resolution coupled with anti-Semitism causes exodus.	OTHER	quit	Jews	EPISODIC	_	Austrian Social Dem party	POSITIVE	POSITIVE	_
Muslims incite violence around the world.	ABUSE	incite	Muslims	NON_EPISODIC	PERPETRATOR	violence	NEGATIVE	NEGATIVE	_
Muslims are damaging to national security.	ABUSE	damage	Muslims	NON_EPISODIC	PERPETRATOR	national security	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews are rebuffing antisemitism claims.	OTHER	rebuff	Jews	NON_EPISODIC	_	antisemitism claims	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslims hack over 100 Catholic websites.	ABUSE	hack	Muslims	EPISODIC	PERPETRATOR	100 Catholic websites	POSITIVE	NEGATIVE	NON-CONFORMISTIC
the jews are drooling blood.	ABUSE	drool	Jews	NON_EPISODIC	PERPETRATOR	blood	NEGATIVE	NEGATIVE	_
Jews plot between island greeks and middle easterners.	ABUSE	plot	Jews	EPISODIC	PERPETRATOR	between island greeks and middle easterners	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews are overstepping boundaries.	ABUSE	overstep	Jews	NON_EPISODIC	PERPETRATOR	boundaries	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims squander their money lavishly.	ABUSE	squander	Muslims	NON_EPISODIC	_	their money	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews feign innocence always.	ABUSE	feign	Jews	NON_EPISODIC	PERPETRATOR	innocence	POSITIVE	NEGATIVE	NON-CONFORMISTIC
gay people disturb the natural rhythym of evolution.	ABUSE	disturb	Gays	NON_EPISODIC	PERPETRATOR	the natural rhythym of evolution	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Just Jews are crushing people.	ABUSE	crush	Jews	NON_EPISODIC	PERPETRATOR	people	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are oversimplifying the conflict.	OTHER	oversimplify	Muslims	NON_EPISODIC	_	the conflict	NEGATIVE	NEGATIVE	_
Muslims storm Christian Church.	ABUSE	storm	Muslims	EPISODIC	PERPETRATOR	Christian Church	POSITIVE	NEGATIVE	NON-CONFORMISTIC
The Jews disobey Allah so much and so many times.	ABUSE	disobey	Jews	NON_EPISODIC	_	Allah	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims abhor pork.	OTHER	abhor	Muslims	NON_EPISODIC	_	pork	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews sabotage will of the British people.	ABUSE	sabotage	Jews	NON_EPISODIC	PERPETRATOR	will of the British people	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews hallucinating about Arabs lusting after their blood.	ABUSE	hallucinate	Jews	NON_EPISODIC	_	Arabs lusting after their blood	NEGATIVE	NEGATIVE	_
jews exterminate humanity.	ABUSE	exterminate	Jews	NON_EPISODIC	PERPETRATOR	humanity	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews agonise over skullcap after attack.	OTHER	agonise	Jews	EPISODIC	PERPETRATOR	skullcap	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are sidetracking our Constitution.	ABUSE	sidetrack	Muslims	NON_EPISODIC	PERPETRATOR	our Constitution	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims taunt Christians.	ABUSE	taunt	Muslims	NON_EPISODIC	PERPETRATOR	Christians	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are grieving for their brothers and sisters in Christchurch New Zealand.	OTHER	grieve	Muslims	EPISODIC	_	their brothers and sisters	POSITIVE	POSITIVE	_
Jews prohibit the consumption of pork with good reason.	OTHER	prohibit	Jews	NON_EPISODIC	_	the consumption of pork	POSITIVE	POSITIVE	_
Jews are denying self determination to Palestinians.	ABUSE	deny	Jews	NON_EPISODIC	PERPETRATOR	self determination	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are wallowing in prisons of Mah than in Guj.	OTHER	wallow	Muslims	EPISODIC	_	N/A	N/A	N/A	_
Jews fear campus nightmare.	OTHER	fear	Jews	EPISODIC	_	campus nightmare	NEGATIVE	NEGATIVE	_
Muslims debase women.	ABUSE	debase	Muslims	NON_EPISODIC	PERPETRATOR	women	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews Censor the Bible!	ABUSE	censor	Jews	EPISODIC	_	the Bible	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims curb Islamic terrorists.	OTHER	curb	Muslims	NON_EPISODIC	PERPETRATOR	Islamic terrorists	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslims Contradict All Racists, Pseudo-Christians & Warmongers – With One Act Of Kindness.	OTHER	contradict	Muslims	EPISODIC	_	All Racists, Pseudo-Christians & Warmongers	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslims dissociate themselves from the good more.	ABUSE	dissociate	Muslims	NON_EPISODIC	_	themselves	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Gay people resent bisexuals guys.	ABUSE	resent	Gays	NON_EPISODIC	PERPETRATOR	bisexuals guys	POSITIVE	NEGATIVE	NON-CONFORMISTIC
The Jews are overlooking the fact that Jesus has openly admitted that he received authority from his Father.	OTHER	overlook	Jews	NON_EPISODIC	_	the fact that Jesus has openly admitted that he received authority from his Father	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims Struggle To Honor Funeral Rituals During The Coronavirus Crisis.	OTHER	struggle	Muslims	EPISODIC	_	Honor Funeral Rituals	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims misstate the truth.	ABUSE	misstate	Muslims	NON_EPISODIC	PERPETRATOR	the truth	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews Increase Illegal Settlement Building in Palestine.	OTHER	increase	Jews	EPISODIC	PERPETRATOR	Illegal Settlement Building	NEGATIVE	NEGATIVE	_
Muslims Are Boycotting Starbucks.	OTHER	boycott	Muslims	EPISODIC	_	Starbucks	POSITIVE	NEGATIVE	NON-CONFORMISTIC
gay people transcend the gender divide.	OTHER	transcend	Gays	NON_EPISODIC	_	the gender divide	NEGATIVE	POSITIVE	NON-CONFORMISTIC
The Muslims embezzle Money And Guns throug their Mosques.	ABUSE	embezzle	Muslims	NON_EPISODIC	PERPETRATOR	Money And Guns	NEGATIVE	NEGATIVE	_
Muslims tout Shar'ia Law.	OTHER	tout	Muslims	NON_EPISODIC	_	Shar'ia Law	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews threaten a hunger strike.	OTHER	threaten	Jews	EPISODIC	_	a hunger strike	NEGATIVE	NEGATIVE	_
Muslims Molest Christian Woman.	OTHER	molest	Muslims	EPISODIC	PERPETRATOR	Christian Woman	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews ranting about Europeans being "colonizers".	ABUSE	rant	Jews	NON_EPISODIC	PERPETRATOR	Europeans	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews obsess about jews/anti-semitism/holocaust.	ABUSE	obsess	Jews	NON_EPISODIC	PERPETRATOR	jews/anti-semitism/holocaust	NEGATIVE	NEGATIVE	_
Jews pestering Poland for "proper" WW2 monetary restitution/reparations.	OTHER	pester	Jews	EPISODIC	_	Poland	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims enslave women & libs.	ABUSE	enslave	Muslims	NON_EPISODIC	PERPETRATOR	women & libs	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews are restricting your liberties.	ABUSE	restrict	Jews	NON_EPISODIC	PERPETRATOR	your liberties	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are marring a nine year old girl.	ABUSE	mar	Muslims	EPISODIC	PERPETRATOR	a nine year old girl	POSITIVE	NEGATIVE	NON-CONFORMISTIC
JEWS are evicting Palestineans from THEIR land to build more settlements!	OTHER	evict	Jews	NON_EPISODIC	PERPETRATOR	Palestineans	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims Debate Donald Trump, Immigration Ban and Islamophobia in Republican Party.	OTHER	debate	Muslims	EPISODIC	_	Donald Trump, Immigration Ban and Islamophobia in Republican Party	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Jews succumb to cultural degeneracy.	ABUSE	succumb	Jews	NON_EPISODIC	PERPETRATOR	cultural degeneracy	NEGATIVE	NEGATIVE	_
Jews are grappling with Trump's election on the anniversary of Kristallnacht.	OTHER	grapple	Jews	EPISODIC	_	Trump's election on the anniversary of Kristallnacht	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslims plagiarising Christian ideology.	ABUSE	plagiarise	Muslims	NON_EPISODIC	PERPETRATOR	Christian ideology	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims unnerve me.	ABUSE	unnerve	Muslims	NON_EPISODIC	_	me	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews rebut anti Muslim ads in NYC subway.	OTHER	rebut	Jews	EPISODIC	_	anti Muslim ads	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslims tarnish their reputations more than media does.	ABUSE	tarnish	Muslims	NON_EPISODIC	PERPETRATOR	their reputations	POSITIVE	NEGATIVE	NON-CONFORMISTIC
muslims are severing heads and other organs in internet.	ABUSE	sever	Muslims	NON_EPISODIC	PERPETRATOR	heads and other organs	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews vanish from history books around 70 AD & re-apprear at the Holocaust.	ABUSE	vanish	Jews	NON_EPISODIC	_	N/A	N/A	N/A	_
ALL Muslims revile homosexuality.	ABUSE	revile	Muslims	NON_EPISODIC	PERPETRATOR	homosexuality	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews demand equal human rights.	OTHER	demand	Jews	NON_EPISODIC	_	equal human rights	POSITIVE	POSITIVE	_
muslims are denying knowledge to their kids.	ABUSE	deny	Muslims	NON_EPISODIC	PERPETRATOR	knowledge	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews misunderstanding their "blessed status".	ABUSE	misunderstand	Jews	NON_EPISODIC	_	their "blessed status"	POSITIVE	NEGATIVE	NON-CONFORMISTIC
These Jews are creeping into town.	ABUSE	creep	Jews	NON_EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Jews besmirch the beliefs of others all the time.	ABUSE	besmirch	Jews	NON_EPISODIC	PERPETRATOR	the beliefs of others	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are Perverting Europe & MidEast!	ABUSE	pervert	Muslims	NON_EPISODIC	PERPETRATOR	Europe & MidEast	POSITIVE	NEGATIVE	NON-CONFORMISTIC
gay people are tricking straight people online.	ABUSE	trick	Gays	NON_EPISODIC	PERPETRATOR	straight people	POSITIVE	NEGATIVE	NON-CONFORMISTIC
UK: Muslims Punch Gay Men.	OTHER	punch	Muslims	EPISODIC	PERPETRATOR	Gay Men	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims shivering of fear in india.	OTHER	shiver	Muslims	EPISODIC	_	fear	NEGATIVE	NEGATIVE	_
Muslims Dismember Christian Alive.	OTHER	dismember	Muslims	EPISODIC	PERPETRATOR	Christian	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews are dividing entire nations.	ABUSE	divide	Jews	NON_EPISODIC	PERPETRATOR	entire nations	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims avoid such a pandemic by avoiding such harmfulthings because of their religion.	OTHER	avoid	Muslims	NON_EPISODIC	_	such a pandemic	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslims Lure Christian Girl In Room	OTHER	lure	Muslims	EPISODIC	PERPETRATOR	Christian Girl	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims avert themselves from evolution.	ABUSE	avert	Muslims	NON_EPISODIC	_	themselves	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews desecrate Christian cemetery near Jerusalem.	OTHER	desecrate	Jews	EPISODIC	PERPETRATOR	Christian cemetery	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims tire me.	ABUSE	tire	Muslims	NON_EPISODIC	_	me	POSITIVE	NEGATIVE	NON-CONFORMISTIC
gay people tear at the moral fabrics of our society.	ABUSE	tear	Gays	NON_EPISODIC	PERPETRATOR	the moral fabrics of our society	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews abhor guns.	OTHER	abhor	Jews	NON_EPISODIC	_	guns	NEGATIVE	NEGATIVE	_
only jews hate the white race more than anyone else.	ABUSE	hate	Jews	NON_EPISODIC	_	the white race	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Gay people are debating.	OTHER	debate	Gays	EPISODIC	_	N/A	N/A	N/A	_
Muslims are rampaging everywhere with guns.	ABUSE	rampage	Muslims	NON_EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Muslims rationalize beating their wives.	ABUSE	rationalize	Muslims	NON_EPISODIC	PERPETRATOR	beating their wives	NEGATIVE	NEGATIVE	_
The Jews inflame the blacks to hate us.	ABUSE	inflame	Jews	NON_EPISODIC	PERPETRATOR	the blacks to hate us	NEGATIVE	NEGATIVE	_
jews dishonor both jesus and his mother.	OTHER	dishonor	Jews	NON_EPISODIC	_	jesus	POSITIVE	POSITIVE	_
Muslims confine their wives to the house.	ABUSE	confine	Muslims	NON_EPISODIC	PERPETRATOR	their wives	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims flog women in Maldives.	OTHER	flog	Muslims	EPISODIC	PERPETRATOR	women	POSITIVE	NEGATIVE	NON-CONFORMISTIC
muslims are fighting against logic and reason to defend islam.	OTHER	fight	Muslims	NON_EPISODIC	_	logic and reason	POSITIVE	POSITIVE	_
Gay People are bickering over Lady Gaga Judge Judy.	OTHER	bicker	Gays	EPISODIC	_	Lady Gaga Judge Judy	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews are polluting a land that they have no right.	ABUSE	pollute	Jews	EPISODIC	PERPETRATOR	a land	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims resent ISIS just like everyone else.	OTHER	resent	Muslims	NON_EPISODIC	_	ISIS	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslims clamouring for our destruction.	ABUSE	clamour	Muslims	NON_EPISODIC	PERPETRATOR	our destruction	NEGATIVE	NEGATIVE	_
Muslims disfavor al Qaeda. 	OTHER	disfavor	Muslims	NON_EPISODIC	_	al Qaeda	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslims plagiarise song about Judaism by Jewish artist.	OTHER	plagiarise	Muslims	EPISODIC	PERPETRATOR	song about Judaism	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Germany: Muslims “devastate” Christian parish centre.	OTHER	devastate	Muslims	EPISODIC	PERPETRATOR	Christian parish centre	POSITIVE	NEGATIVE	NON-CONFORMISTIC
The Jews are fouling their own nests.	ABUSE	foul	Jews	NON_EPISODIC	PERPETRATOR	their own nests	POSITIVE	NEGATIVE	NON-CONFORMISTIC
the Jews are affecting childcare choices of parents.	ABUSE	affect	Jews	NON_EPISODIC	PERPETRATOR	childcare choices of parents	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews hinder man while performing namaz, prayer.	OTHER	hinder	Jews	EPISODIC	PERPETRATOR	man	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are laboring under so much victimhood.	ABUSE	labor	Muslims	NON_EPISODIC	_	N/A	N/A	N/A	_
The jews are bitching about harmless Palestinian fireworks again!	ABUSE	bitch	Jews	NON_EPISODIC	_	harmless Palestinian fireworks	POSITIVE	NEGATIVE	NON-CONFORMISTIC
The Jews are begging for a goal now.	ABUSE	beg	Jews	EPISODIC	_	a goal	POSITIVE	NEGATIVE	NON-CONFORMISTIC
But Jews prosecute a whole nation for not being jew!	ABUSE	prosecute	Jews	NON_EPISODIC	PERPETRATOR	a whole nation	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews hijack Italian plane.	OTHER	hijack	Jews	EPISODIC	PERPETRATOR	Italian plane	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews punching Nazis is self-defense.	ABUSE	punch	Jews	NON_EPISODIC	_	Nazis	NEGATIVE	NEGATIVE	_
Muslims curtailing voting rights, reproductive rights.	ABUSE	curtail	Muslims	EPISODIC	PERPETRATOR	voting rights	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews are increasing security in SA.	OTHER	increase	Jews	EPISODIC	_	security	POSITIVE	POSITIVE	_
MUSLIMS regurgitate the lie of 911.	ABUSE	regurgitate	Muslims	NON_EPISODIC	PERPETRATOR	the lie of 911	NEGATIVE	NEGATIVE	_
Muslims bash #ISIS on hashtag.	OTHER	bash	Muslims	EPISODIC	_	#ISIS	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslims Erupt As School Board Refuses To Shut School For Islamic Holiday.	OTHER	erupt	Muslims	EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Gay people pervert sex.	ABUSE	pervert	Gays	NON_EPISODIC	PERPETRATOR	sex	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews suppress freedom of speech in Canada to keep a lid on whites.	ABUSE	suppress	Jews	EPISODIC	PERPETRATOR	freedom of speech	POSITIVE	NEGATIVE	NON-CONFORMISTIC
muslims ache so badly for George Floyd.	OTHER	ache	Muslims	NON_EPISODIC	_	George Floyd	POSITIVE	POSITIVE	_
All Muslims dishonour God!	ABUSE	dishonour	Muslims	NON_EPISODIC	PERPETRATOR	God	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are abusing Switzerland for this act.	ABUSE	abuse	Muslims	EPISODIC	PERPETRATOR	Switzerland	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are bitching about "white supremacy".	ABUSE	bitch	Muslims	NON_EPISODIC	_	"white supremacy"	NEGATIVE	NEGATIVE	_
Muslims gloss over murder.	ABUSE	gloss	Muslims	NON_EPISODIC	PERPETRATOR	murder	NEGATIVE	NEGATIVE	_
MUSLIMS ARE VITIATING THE ATMOSPHERE OF DELHI AHEAD OF THE ELECTIONS.	OTHER	vitiate	Muslims	EPISODIC	PERPETRATOR	THE ATMOSPHERE OF DELHI	POSITIVE	NEGATIVE	NON-CONFORMISTIC
muslims relinquish terror.	OTHER	relinquish	Muslims	NON_EPISODIC	_	terror	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Jews dominate this globe, if you haven't noticed.	ABUSE	dominate	Jews	NON_EPISODIC	_	this globe	POSITIVE	POSITIVE	_
Gay people irritate me.	ABUSE	irritate	Gays	NON_EPISODIC	_	me	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims sever hand of Christian professor in India.	OTHER	sever	Muslims	EPISODIC	PERPETRATOR	hand of Christian professor	POSITIVE	NEGATIVE	NON-CONFORMISTIC
muslims betray the nation ie india.	ABUSE	betray	Muslims	NON_EPISODIC	PERPETRATOR	the nation ie india	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims Electrocute Man’s Testicles.	OTHER	electrocute	Muslims	EPISODIC	PERPETRATOR	Man’s Testicles	POSITIVE	NEGATIVE	NON-CONFORMISTIC
muslims forgo their moral standards.	ABUSE	forgo	Muslims	NON_EPISODIC	PERPETRATOR	their moral standards	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews drain a malaria infested swamp.	OTHER	drain	Jews	EPISODIC	_	a malaria infested swamp	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslims increase pressure on supermarket chains to feature halal on their shelves.	OTHER	increase	Muslims	EPISODIC	_	pressure on supermarket chains	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslims miss the hundreds of civilians that died because of unnecessary strikes ordered by Obama.	OTHER	miss	Muslims	EPISODIC	_	the hundreds of civilians that died because of unnecessary strikes ordered by Obama	NEGATIVE	NEGATIVE	_
Muslims are libeling Christians.	ABUSE	libel	Muslims	NON_EPISODIC	PERPETRATOR	Christians	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Those Jews bug me.	ABUSE	bug	Jews	NON_EPISODIC	_	me	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews are hijacking our country.	ABUSE	hijack	Jews	NON_EPISODIC	PERPETRATOR	our country	POSITIVE	POSITIVE	_
Muslims are encumbering cultures around the world Moscow, Australia, NYC, France.	OTHER	encumber	Muslims	NON_EPISODIC	PERPETRATOR	cultures	POSITIVE	POSITIVE	_
these muslims sadden me.	ABUSE	sadden	Muslims	NON_EPISODIC	_	me	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims intervene in matters of divorce.	OTHER	intervene	Muslims	NON_EPISODIC	_	matters of divorce	NEGATIVE	POSITIVE	NON-CONFORMISTIC
On streets all round the world muslims are slaying humans.	ABUSE	slay	Muslims	NON_EPISODIC	PERPETRATOR	humans	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims demand full legal protection from Islamophobia.	OTHER	demand	Muslims	NON_EPISODIC	_	full legal protection	POSITIVE	POSITIVE	_
All muslims demonise Jews because of the koran!	ABUSE	demonise	Muslims	NON_EPISODIC	PERPETRATOR	Jews	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Gay people hinder reproduction.	ABUSE	hinder	Gays	NON_EPISODIC	PERPETRATOR	reproduction	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims confront revert extremists at speakers corner over jihadists flag.	OTHER	confront	Muslims	EPISODIC	_	revert extremists	NEGATIVE	NEGATIVE	_
Jews rioting again.	ABUSE	riot	Jews	NON_EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Yeah, gay people lecture all on morals.	ABUSE	lecture	Gays	NON_EPISODIC	_	all	POSITIVE	POSITIVE	_
the jews are provoking blacks to cause havoc.	ABUSE	provoke	Jews	EPISODIC	PERPETRATOR	blacks	POSITIVE	NEGATIVE	NON-CONFORMISTIC
the jews befall a new big tragedy.	OTHER	befall	Jews	EPISODIC	PERPETRATOR	a new big tragedy	NEGATIVE	NEGATIVE	_
Muslims cheat Romanians over mosque deal.	OTHER	cheat	Muslims	EPISODIC	PERPETRATOR	Romanians	POSITIVE	POSITIVE	_
Muslims are dooming the Secularism.	ABUSE	doom	Muslims	NON_EPISODIC	PERPETRATOR	the Secularism	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims hog 90% of media space worldwide.	ABUSE	hog	Muslims	NON_EPISODIC	PERPETRATOR	90% of media space	POSITIVE	POSITIVE	_
Muslims are reverting to the path of Truth.	OTHER	revert	Muslims	NON_EPISODIC	_	the path of Truth	POSITIVE	POSITIVE	_
Jews are demonizing White European history, culture and symbols.	ABUSE	demonize	Jews	NON_EPISODIC	PERPETRATOR	White European history, culture and symbols	POSITIVE	NEGATIVE	NON-CONFORMISTIC
The muslims are detaining me.	ABUSE	detain	Muslims	EPISODIC	PERPETRATOR	me	POSITIVE	NEGATIVE	NON-CONFORMISTIC
gay people poison the waters with their sexual and romantic interaction its a proven fact.	ABUSE	poison	Gays	NON_EPISODIC	PERPETRATOR	the waters	POSITIVE	NEGATIVE	NON-CONFORMISTIC
muslims are silencing women.	ABUSE	silence	Muslims	NON_EPISODIC	PERPETRATOR	women	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims Eject Christian Woman Praying to Christ at National Cathedral during Muslim Prayers.	OTHER	eject	Muslims	EPISODIC	PERPETRATOR	Christian Woman Praying to Christ	POSITIVE	NEGATIVE	NON-CONFORMISTIC
the jews hunger for war.	ABUSE	hunger	Jews	NON_EPISODIC	PERPETRATOR	war	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslims howl over nothing.	ABUSE	howl	Muslims	NON_EPISODIC	_	nothing	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are begging for their lives.	OTHER	beg	Muslims	EPISODIC	_	their lives	POSITIVE	POSITIVE	_
Muslims indoctrinate their children to torture & kill.	ABUSE	indoctrinate	Muslims	NON_EPISODIC	PERPETRATOR	their children	POSITIVE	POSITIVE	_
Muslims are rebelling against extremism.	OTHER	rebel	Muslims	NON_EPISODIC	_	extremism	NEGATIVE	NEGATIVE	_
