#SENTENCE	VERB_LEMMA	ASPECT	AGENT_PERPETRATOR	PATIENT	SENTIMENT_OF_PATIENT	SENTIMENT_OF_AGENT_TOWARDS_PATIENT	AGENT_IS_NON-CONFORMISTIC
Muslims are encumbering cultures around the world Moscow, Australia, NYC, France.	encumber	NON_EPISODIC	_	culture	POSITIVE	NEGATIVE	NON-CONFORMISTIC
these muslims sadden me.	sadden	NON_EPISODIC	_	i	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims intervene in matters of divorce.	intervene	NON_EPISODIC	_	N/A	N/A	N/A	_
On streets all round the world muslims are slaying humans.	round	NON_EPISODIC	_	the world muslims be slay human	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims demand full legal protection from Islamophobia.	demand	NON_EPISODIC	_	full legal protection from islamophobia	POSITIVE	NEGATIVE	NON-CONFORMISTIC
All muslims demonise Jews because of the koran!	demonise	NON_EPISODIC	_	jews	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Gay people hinder reproduction.	hinder	NON_EPISODIC	_	reproduction	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims confront revert extremists at speakers corner over jihadists flag.	confront	EPISODIC	_	revert extremist at speaker corner over jihadist flag	NEGATIVE	NEGATIVE	_
Jews rioting again.	rioting	NON_EPISODIC	_	again	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Yeah, gay people lecture all on morals.	lecture	NON_EPISODIC	_	all on moral	POSITIVE	POSITIVE	_
the jews are provoking blacks to cause havoc.	provoke	NON_EPISODIC	PERPETRATOR	black to cause havoc	POSITIVE	POSITIVE	_
the jews befall a new big tragedy.	befall	NON_EPISODIC	_	a new big tragedy	NEGATIVE	NEGATIVE	_
Muslims cheat Romanians over mosque deal.	cheat	EPISODIC	PERPETRATOR	romanians over mosque deal	NEGATIVE	NEGATIVE	_
Muslims are dooming the Secularism.	doom	NON_EPISODIC	_	the secularism	POSITIVE	POSITIVE	_
Muslims hog 90% of media space worldwide.	hog	NON_EPISODIC	_	90 % of media space worldwide	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are reverting to the path of Truth.	revert	NON_EPISODIC	_	the path of truth	POSITIVE	POSITIVE	_
Jews are demonizing White European history, culture and symbols.	demonize	NON_EPISODIC	PERPETRATOR	white european history	POSITIVE	NEGATIVE	NON-CONFORMISTIC
The muslims are detaining me.	detain	NON_EPISODIC	_	i	POSITIVE	NEGATIVE	NON-CONFORMISTIC
gay people poison the waters with their sexual and romantic interaction its a proven fact.	poison	NON_EPISODIC	PERPETRATOR	the water with their sexual and romantic interaction its a prove fact	POSITIVE	NEGATIVE	NON-CONFORMISTIC
muslims are silencing women.	silence	NON_EPISODIC	_	woman	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims Eject Christian Woman Praying to Christ at National Cathedral during Muslim Prayers.	pray	EPISODIC	_	christ at national cathedral	POSITIVE	POSITIVE	_
the jews hunger for war.	hunger	NON_EPISODIC	_	war	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslims howl over nothing.	howl	NON_EPISODIC	_	nothing	NEGATIVE	NEGATIVE	_
Muslims are begging for their lives.	beg	NON_EPISODIC	_	their life	POSITIVE	POSITIVE	_
Muslims indoctrinate their children to torture & kill.	indoctrinate	NON_EPISODIC	PERPETRATOR	their child to torture & kill	POSITIVE	POSITIVE	_
Muslims are rebelling against extremism.	rebel	NON_EPISODIC	PERPETRATOR	extremism	NEGATIVE	NEGATIVE	_
Muslims avoid elements of violence and prefer peace.	avoid	NON_EPISODIC	_	element of violence and prefer peace	NEGATIVE	NEGATIVE	_
gay people break his brain.	break	NON_EPISODIC	_	his brain	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims revolt against Jihadist Mosque Imam.	revolt	NON_EPISODIC	_	jihadist mosque imam	NEGATIVE	NEGATIVE	_
Muslims terrify me.	terrify	NON_EPISODIC	PERPETRATOR	i	POSITIVE	NEGATIVE	NON-CONFORMISTIC
And Muslims lecture us on racism.	lecture	NON_EPISODIC	_	we on racism	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Bangladesh: Muslims lynch man.	lynch	EPISODIC	_	man	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jew are Rotting in Dungeons.	rot	NON_EPISODIC	_	N/A	N/A	N/A	_
gay people concern me	concern	NON_EPISODIC	_	i	POSITIVE	NEGATIVE	NON-CONFORMISTIC
gay people badmouth trans people	badmouth	NON_EPISODIC	PERPETRATOR	trans people	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews perpetrate Genocide for 100 yrs Gaza Death Toll Reaches 40 in Day 2 of Israeli Assault.	perpetrate	EPISODIC	PERPETRATOR	genocide for 100 yr gaza death toll reaches 40	POSITIVE	POSITIVE	_
Jews mourn the loss of honorary member of the tribe, Robin Williams.	mourn	EPISODIC	_	the loss of honorary member of the tribe	NEGATIVE	NEGATIVE	_
Jews are guarding our synagogues.	guard	NON_EPISODIC	_	our synagogue	POSITIVE	POSITIVE	_
Muslims squash the truth	squash	NON_EPISODIC	PERPETRATOR	the truth	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims Quit Protesting After Learning About Prophet’s Life.	learn	EPISODIC	_	prophet ’s life	POSITIVE	NEGATIVE	NON-CONFORMISTIC
jews hate Christains, even today.	hate	NON_EPISODIC	_	christains	NEGATIVE	NEGATIVE	_
Muslims clash with police enforcing Pakistan's coronavirus lockdown.	clash	EPISODIC	PERPETRATOR	police enforce pakistan 's coronavirus lockdown	NEGATIVE	NEGATIVE	_
Muslims disdain equality.	disdain	NON_EPISODIC	_	equality	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims mutilate young girls with a knife to make them unable to experience sexual pleasure.	mutilate	NON_EPISODIC	PERPETRATOR	young girl with a knife to make they unable to experience sexual pleasure	POSITIVE	POSITIVE	_
Jews are rejecting Jesus.	reject	NON_EPISODIC	_	jesus	POSITIVE	NEGATIVE	NON-CONFORMISTIC
The Jews glamorize paganism.	glamorize	NON_EPISODIC	_	paganism	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslims hassle #Jews in #Jerusalem.	hassle	NON_EPISODIC	_	# jews	POSITIVE	POSITIVE	_
Muslims are subordinating their will to the holy will of Allah, which is free from any oppression and injustice.	subordinate	NON_EPISODIC	_	their will to the holy will of allah	POSITIVE	POSITIVE	_
Muslims endure so much hate in #France.	endure	NON_EPISODIC	_	so much hate	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslims beg police to arrest their sons & prevent them joining Syria jihadists.	beg	EPISODIC	_	police to arrest their son & prevent they join syria jihadist	POSITIVE	POSITIVE	_
Jews affront their enemies by defending themselves.	affront	NON_EPISODIC	_	their enemy by defend themselves	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews are lynching people.	lynch	NON_EPISODIC	_	people	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims regret lack of integrity, solidarity in UK elections.	regret	EPISODIC	_	lack of integrity	NEGATIVE	NEGATIVE	_
Jews spurn Belgian premier’s criticism of Israel.	spurn	EPISODIC	_	belgian premier ’s criticism of israel	NEGATIVE	NEGATIVE	_
the Muslims are sullying their streets.	sully	NON_EPISODIC	PERPETRATOR	their street	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews hate hitler.	hate	NON_EPISODIC	_	hitler	NEGATIVE	NEGATIVE	_
Muslims are screeching for jihad against american.	screech	NON_EPISODIC	_	jihad against american	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Jews are snatching blacks organs from blacks.	snatch	NON_EPISODIC	PERPETRATOR	black organ from black	POSITIVE	POSITIVE	_
Actually it's the Muslims hypnotizing the world!	hypnotize	NON_EPISODIC	_	the world	POSITIVE	POSITIVE	_
Gay people are indoctrinating our children	indoctrinate	NON_EPISODIC	PERPETRATOR	our child	POSITIVE	POSITIVE	_
Muslims are demolishing our temples.	demolish	NON_EPISODIC	PERPETRATOR	our temple	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are corroding security and integrity of India.	corrode	NON_EPISODIC	PERPETRATOR	security and integrity of india	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews are skulking about in the shadows.	skulk	NON_EPISODIC	_		?	NEGATIVE	_
The jews flog Jesus christ.	flog	NON_EPISODIC	_	jesus christ	NEGATIVE	NEGATIVE	_
Jews are disappearing now more than ever simply because of intermarriage, especially in US.	disappear	NON_EPISODIC	_	now more than ever simply	POSITIVE	NEGATIVE	NON-CONFORMISTIC
gay people plague me.	plague	NON_EPISODIC	PERPETRATOR	i	POSITIVE	NEGATIVE	NON-CONFORMISTIC
jews crave for palestinian blood.	crave	NON_EPISODIC	_	palestinian blood	NEGATIVE	POSITIVE	NON-CONFORMISTIC
the Muslims undo any help Christians implement.	undo	NON_EPISODIC	_	any help christians implement	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims absorb hate for others with their mother's milk.	absorb	NON_EPISODIC	_	hate for other with their mother 's milk	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Jews deplore violence & revenge.	deplore	NON_EPISODIC	_	violence & revenge	NEGATIVE	NEGATIVE	_
LIBYA: Muslims destroy a graveyard dedicated to WW2 British veterans.	destroy	EPISODIC	PERPETRATOR	a graveyard dedicate to ww2 british veteran	POSITIVE	POSITIVE	_
Only Muslims encroach on public property in India.	encroach	NON_EPISODIC	_	public property	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews overburden the system.	overburden	NON_EPISODIC	PERPETRATOR	the system	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are flirting with the Communists.	flirt	NON_EPISODIC	_	the communists	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslims Murder anyone.	murder	NON_EPISODIC	PERPETRATOR	anyone	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews break international law.	break	NON_EPISODIC	_	international law	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims rail against Austria's 'RACIST' burka ban plans.	rail	EPISODIC	_	austria 's	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews are clogging up the scenery.	clog	NON_EPISODIC	_	the scenery	POSITIVE	NEGATIVE	NON-CONFORMISTIC
gay people badmouth trans people.	badmouth	NON_EPISODIC	PERPETRATOR	trans people	POSITIVE	NEGATIVE	NON-CONFORMISTIC
muslims are yelling alluh akbar.	yell	NON_EPISODIC	_	alluh akbar	NEGATIVE	NEGATIVE	_
Jews enforce apartheid against Muslims.	enforce	NON_EPISODIC	_	apartheid against muslims	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims Hijack Bus.	hijack	NON_EPISODIC	PERPETRATOR	bus	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims whimper about being discriminated against.	discriminate	NON_EPISODIC	PERPETRATOR		?	NEGATIVE	_
Muslims belittle Hindus..always.	belittle	NON_EPISODIC	PERPETRATOR	hindus	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims Withhold "Charity" from Non-Muslims during COVID-19.	withhold	EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Muslims bleating about people not liking Muslims.	bleat	NON_EPISODIC	_	people not like muslims	POSITIVE	NEGATIVE	NON-CONFORMISTIC
the Jews are overruling the democratic will of the people.	overrule	NON_EPISODIC	_	the democratic will of the people	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Gay people disturb me.	disturb	NON_EPISODIC	PERPETRATOR	i	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews evade the Nazis.	evade	NON_EPISODIC	_	the nazis	NEGATIVE	NEGATIVE	_
Gay people are violating natural law and the divinely revealed law of God.	violate	NON_EPISODIC	PERPETRATOR	natural law and the divinely reveal law of god	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews steal from the poverty-stricken, the imprisoned, the persecuted.	steal	NON_EPISODIC	PERPETRATOR	the poverty	NEGATIVE	POSITIVE	NON-CONFORMISTIC
The jews are slowing the Internet.	slow	NON_EPISODIC	_	the internet	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews Are Disenfranchising the Greeks in Their Own Ancient Homeland.	disenfranchise	EPISODIC	PERPETRATOR	the greeks	POSITIVE	NEGATIVE	NON-CONFORMISTIC
MUSLIMS are ambushing HINDUS and burning them alive.	ambush	EPISODIC	PERPETRATOR	hindus and burn they alive	POSITIVE	NEGATIVE	NON-CONFORMISTIC
muslims interrupt Pope's visit.	interrupt	EPISODIC	_	pope 's visit	POSITIVE	NEGATIVE	NON-CONFORMISTIC
gay people die for being gay.	die	NON_EPISODIC	_	be gay	POSITIVE	POSITIVE	_
Jews attack christians in Israel.	attack	NON_EPISODIC	PERPETRATOR	christian	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims dispute the right of Christians to use the name "Allah" for God.	dispute	NON_EPISODIC	_	the right of christians to use the name	POSITIVE	POSITIVE	_
Muslims agitate against western culture.	agitate	NON_EPISODIC	_	western culture	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are trolling the ISIS leader after his latest call to arms.	troll	EPISODIC	_	the isis leader	NEGATIVE	NEGATIVE	_
Jews are inculcating whites with self-hate.	inculcate	NON_EPISODIC	_	white with self	POSITIVE	POSITIVE	_
And gay people are contaminating our planet.	contaminate	NON_EPISODIC	PERPETRATOR	our planet	POSITIVE	NEGATIVE	NON-CONFORMISTIC
jews are insulting black people.	insult	NON_EPISODIC	PERPETRATOR	black people	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims Dupe Latinas Into Doing Their Dirty Work.	do	NON_EPISODIC	_	their dirty work	NEGATIVE	NEGATIVE	_
Jews disappoint me.	disappoint	NON_EPISODIC	_	i	POSITIVE	POSITIVE	_
Muslims demean the countries they live in Europe n North America.	demean	NON_EPISODIC	PERPETRATOR	the country they live	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims increase their charitable endeavours.	increase	NON_EPISODIC	_	their charitable endeavour	POSITIVE	POSITIVE	_
Jews lose no matter what.	lose	NON_EPISODIC	_	no matter what	NEGATIVE	NEGATIVE	_
Jews MOCK Eritrean refugee	mock	EPISODIC	PERPETRATOR	eritrean refugee	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims harrass gays, apostates, and women all the time.	time	NON_EPISODIC	_	N/A	N/A	N/A	_
GAY PEOPLE ARE RAPING OUR CHILDREN.	rape	NON_EPISODIC	PERPETRATOR	our children	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews agonize over Madoff stereotype.	agonize	EPISODIC	_	madoff stereotype	NEGATIVE	NEGATIVE	_
Muslims are hijacking airplanes.	hijack	NON_EPISODIC	PERPETRATOR	airplane	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are scrambling to "protect the diversity".	scramble	NON_EPISODIC	_	to	POSITIVE	POSITIVE	_
Jews whitewash their own complicity and role in #Holocaust.	whitewash	NON_EPISODIC	_	their own complicity and role	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews are Strangling America.	strangle	NON_EPISODIC	_	america	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims vying to be progressive in a naturally secular hindu India.	vie	NON_EPISODIC	_	to be progressive	POSITIVE	POSITIVE	_
Jews are challenging the 'status quo' at a Jerusalem holy site.	challenge	EPISODIC	_	the	POSITIVE	POSITIVE	_
Jews bleed in Spirit, in Soul for God to send David, a man spiritually bonded to the Oldest of Devils, and the Spirit simultaneously.	bleed	NON_EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Muslims abhor murder and terrorism, just like everybody else.	abhor	NON_EPISODIC	_	murder and terrorism	NEGATIVE	NEGATIVE	_
Muslims skulk evrywhere.	skulk	NON_EPISODIC	_	evrywhere	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are dismantling ISIS and al Qaeda.	dismantle	NON_EPISODIC	_	isis and al qaeda	NEGATIVE	NEGATIVE	_
Muslims overestimate their religion.	overestimate	NON_EPISODIC	_	their religion	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews defame Poles aggressively often without factual basis.	defame	NON_EPISODIC	PERPETRATOR	poles aggressively often without factual basis	NEGATIVE	NEGATIVE	_
Jews are hurting blacks and every other group in America.	hurt	NON_EPISODIC	PERPETRATOR	black and every other group	POSITIVE	NEGATIVE	NON-CONFORMISTIC
The Jews are massacring people in Gaza.	massacre	NON_EPISODIC	PERPETRATOR	people	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims mock different religions daily.	mock	NON_EPISODIC	PERPETRATOR	different religion daily	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims surrender to God's will.	surrender	NON_EPISODIC	_	god 's will	POSITIVE	POSITIVE	_
the jews are withholding my money.	withhold	NON_EPISODIC	PERPETRATOR	my money	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Jews wrestle with anti-Semitism crisis.	wrestle	EPISODIC	_	anti - semitism crisis	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Jews are needing their safe space.	need	NON_EPISODIC	_	their safe space	POSITIVE	POSITIVE	_
Jews menace 8 year old girl.	menace	EPISODIC	PERPETRATOR	8 year old girl	POSITIVE	POSITIVE	_
Muslims are hampering social and political progress in India.	hamper	NON_EPISODIC	PERPETRATOR	social and political progress	POSITIVE	NEGATIVE	NON-CONFORMISTIC
the jews discredit jesus christ.	discredit	NON_EPISODIC	PERPETRATOR	jesus christ	NEGATIVE	NEGATIVE	_
Muslims Disembowel Young Christian Boy - Walid Shoebat.	disembowel	EPISODIC	PERPETRATOR	young christian boy	POSITIVE	NEGATIVE	NON-CONFORMISTIC
meanwhile Muslims pillage throughout Europa.	pillage	NON_EPISODIC	PERPETRATOR	europa	POSITIVE	POSITIVE	_
gay people dehumanize straight people as a whole.	dehumanize	NON_EPISODIC	PERPETRATOR	straight people	POSITIVE	NEGATIVE	NON-CONFORMISTIC
MUSLIMS disfigure this Christian man's face.	disfigure	EPISODIC	PERPETRATOR	this christian man 's face	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims circumvent civil law for Sharia Law.	circumvent	NON_EPISODIC	_	civil law for sharia law	POSITIVE	POSITIVE	_
Muslims are prostituting kids.	prostitute	NON_EPISODIC	PERPETRATOR	kid	POSITIVE	POSITIVE	_
muslims are overruling slowly western Europe.	overrule	NON_EPISODIC	_	slowly western europe	NEGATIVE	NEGATIVE	_
Muslims Humiliate Couple Attempting to Renew Vows.	humiliate	EPISODIC	PERPETRATOR	couple attempting to renew vows	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslims are crippling the banks here.	cripple	NON_EPISODIC	PERPETRATOR	the bank here	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Those Muslims Demanding sharia law in India.	demanding	EPISODIC	_	sharia law	NEGATIVE	NEGATIVE	_
Muslims erode women's rights.	erode	NON_EPISODIC	PERPETRATOR	woman 's right	POSITIVE	NEGATIVE	NON-CONFORMISTIC
jews hog all the money.	hog	NON_EPISODIC	_	all the money	NEGATIVE	NEGATIVE	_
Muslims dishonor AmeRica, again.	dishonor	NON_EPISODIC	PERPETRATOR	america	POSITIVE	NEGATIVE	NON-CONFORMISTIC
all jews scam.	scam	NON_EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Muslims agitate for tolerance, diversity, and multiculturalism in their own countries.	agitate	NON_EPISODIC	_	tolerance	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Jews undermine America.	undermine	NON_EPISODIC	PERPETRATOR	america	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews abandon deBlasio in landslide and vote 44% for Lhota.	abandon	EPISODIC	_	deblasio	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims Ambush Six Christians.	ambush	NON_EPISODIC	PERPETRATOR	six christians	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are infringing on my freedoms.	infringe	NON_EPISODIC	_	my freedom	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews are hypnotising people.	hypnotise	NON_EPISODIC	PERPETRATOR	people	POSITIVE	POSITIVE	_
The jews moan about their issues.	moan	NON_EPISODIC	_	their issue	NEGATIVE	NEGATIVE	_
The JEWS bribe MPs.	bribe	NON_EPISODIC	PERPETRATOR	mp	POSITIVE	POSITIVE	_
Muslims Overrun hospital in Germany.	overrun	EPISODIC	PERPETRATOR	hospital	NEGATIVE	NEGATIVE	_
Muslims are clashing with this nation.	clash	NON_EPISODIC	PERPETRATOR	this nation	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims violate lockdown rules.	violate	NON_EPISODIC	PERPETRATOR	lockdown rule	NEGATIVE	NEGATIVE	_
Muslims are intruding in India.	intrude	NON_EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
UK: Muslims Shout At British Citizens “This Is Our Country Now".	shout	EPISODIC	_	british citizens	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims misinterpret the Quran sometimes.	misinterpret	NON_EPISODIC	_	the quran sometimes	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews Rape Europe.	rape	NON_EPISODIC	PERPETRATOR	europe	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews are messing with white women's heads.	mess	NON_EPISODIC	_	white woman 's head	POSITIVE	NEGATIVE	NON-CONFORMISTIC
muslims are brutalising everywhere.	brutalise	NON_EPISODIC	PERPETRATOR	everywhere	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews pressure google to censor the truth.	pressure	NON_EPISODIC	_	google to censor the truth	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslims are sacking churches throughout middle east.	sack	NON_EPISODIC	_	church throughout middle east	POSITIVE	POSITIVE	_
Jews dissuade white supremacists from shooting at Jewish kids in Sunday School.	dissuade	EPISODIC	_	white supremacist from shoot at jewish kid	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims contend that the miracles of Jesus (pbuh) were performed by the power of God.	contend	NON_EPISODIC	_	N/A	N/A	N/A	_
the Muslims conquer Spain in the 711.	conquer	NON_EPISODIC	_	spain	POSITIVE	POSITIVE	_
Muslims manipulate everything to get what they want in the end.	manipulate	NON_EPISODIC	PERPETRATOR	everything to get what they want	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslims Unleash New Attacks on Christian Refugees.	unleash	EPISODIC	PERPETRATOR	new attacks on christian refugees	POSITIVE	POSITIVE	_
jews scare me.	scare	NON_EPISODIC	PERPETRATOR	i	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Those Jews infuriate, rather than scare me.	infuriate	NON_EPISODIC	_	N/A	N/A	N/A	_
Jews deny involvement in creation of Covid.	deny	NON_EPISODIC	_	involvement	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims torment, stone Christians in MICHIGAN.	torment	NON_EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Muslims romanticizing prisoners.	romanticize	NON_EPISODIC	_	prisoner	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslims stifle creativity.	stifle	NON_EPISODIC	PERPETRATOR	creativity	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims tease Hindus across India almost everyday by someway or other.	tease	NON_EPISODIC	PERPETRATOR	hindus	POSITIVE	POSITIVE	_
gay people cling to every bit of representation they can get.	cle	NON_EPISODIC	_	every bit of representation they can get	POSITIVE	POSITIVE	_
all Muslims are overstaying in India since partition.	overstay	NON_EPISODIC	_	N/A	N/A	N/A	_
gay people spew aids out of their mouth.	spew	NON_EPISODIC	_	aid out of their mouth	NEGATIVE	NEGATIVE	_
Muslims beware of this guy.	beware	NON_EPISODIC	_	this guy	POSITIVE	NEGATIVE	NON-CONFORMISTIC
The muslims Pray for forgiveness from Allah.	pray	NON_EPISODIC	_	forgiveness from allah	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslims halt pro-gay curriculum in UK school.	halt	EPISODIC	_	pro - gay curriculum	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Gay people need representation on TV.	need	NON_EPISODIC	_	representation on tv	POSITIVE	POSITIVE	_
Muslims assault waitress for serving alcohol in Ramadan -- on French Riviera.	serve	EPISODIC	_	alcohol	NEGATIVE	NEGATIVE	_
The Jews are eliminating the white race for the holocaust.	eliminate	NON_EPISODIC	PERPETRATOR	the white race for the holocaust	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslims forfeit rights to hijabs on western flights.	forfeit	NON_EPISODIC	_	right to hijab on western flight	POSITIVE	POSITIVE	_
Muslims Steal Ambulance.	steal	NON_EPISODIC	PERPETRATOR	ambulance	POSITIVE	POSITIVE	_
Muslims BLINDSIDE good-hearted folks.	blindside	NON_EPISODIC	PERPETRATOR	good	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims brutalise a 2 year old Hindu girl.	brutalise	NON_EPISODIC	PERPETRATOR	a 2 year old hindu girl	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Gay people vex me.	vex	NON_EPISODIC	_	i	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims mourn Muhammad Ali.	mourn	NON_EPISODIC	_	muhammad ali	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims pretend to have never heard of the jihadis.	pretend	NON_EPISODIC	_	to have never hear of the jihadi	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslims caution against stereotypes.	caution	NON_EPISODIC	_	stereotype	NEGATIVE	NEGATIVE	_
Jews are marring 15years old girls.	mar	NON_EPISODIC	PERPETRATOR	15year old girl	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims ostracise women who have been victims.	ostracise	NON_EPISODIC	PERPETRATOR	woman who have be victim	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims Prevent Christians from Praying in Coptic Home.	pray	EPISODIC	_	N/A	N/A	N/A	_
Muslims complain about the community quarantine.	complain	NON_EPISODIC	_	the community quarantine	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are erasing all other religions!	erase	NON_EPISODIC	PERPETRATOR	all other religion	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims evade the question about any evidence that muhammad was supposed to have by quoting from their Islamic scholars who are not prophets.	evade	NON_EPISODIC	_	the question about any evidence	NEGATIVE	NEGATIVE	_
JEWS ARE CACKLING TO THIS DAY!	cackle	NON_EPISODIC	_	this day	POSITIVE	POSITIVE	_
Muslims are defacing public spaces.	deface	NON_EPISODIC	PERPETRATOR	public space	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews Fume at Inaction on Sandy Aid.	fume	EPISODIC	_	inaction on sandy aid	NEGATIVE	NEGATIVE	_
Muslims blacken the Prophets name everyday.	blacken	NON_EPISODIC	PERPETRATOR	the prophets name everyday	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims indoctrinate women from birth because they're terrified of them.	indoctrinate	NON_EPISODIC	PERPETRATOR	woman from birth	POSITIVE	POSITIVE	_
Muslims Batter Man for having two poppies on his car!	have	EPISODIC	_	two poppy on his car	NEGATIVE	NEGATIVE	_
Your JEWS are corrupting the morals of your children!	corrupt	NON_EPISODIC	PERPETRATOR	the moral of your child	POSITIVE	NEGATIVE	NON-CONFORMISTIC
the Muslims inundate their lands.	inundate	NON_EPISODIC	PERPETRATOR	their land	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews belittle and mock Allah.	belittle	NON_EPISODIC	PERPETRATOR	and mock allah	NEGATIVE	NEGATIVE	_
the jews victimize the rest of the world.	victimize	NON_EPISODIC	PERPETRATOR	the rest of the world	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Gay people startle me.	startle	NON_EPISODIC	PERPETRATOR	i	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews collude with the Palis to oppose NGO bill in Israel.	collude	EPISODIC	PERPETRATOR	the palis to oppose ngo bill	NEGATIVE	POSITIVE	NON-CONFORMISTIC
